source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
20, 7, 8526, 0.0149147,0.0400981
21, 7, 18349, 0.00543728,0.0216719
24, 7, 14094, 0.0322871,0.0245406
25, 7, 18994, 0.00473407,0.0225514
26, 7, 16745, 0.0153868,0.0222374
35, 7, 22395, 0.0084573,0.0158896
36, 7, 20901, 0.0187848,0.016438
37, 7, 12997, 0.0318371,0.014841
38, 7, 6661, 0.0144931,0.0184751
39, 7, 8026, 0.0154564,0.0221512
53, 7, 5295, 0.0381539,0.0164791
54, 7, 32555, 0.0127142,0.0145623
58, 7, 8848, 0.0175648,0.0198755
59, 7, 7618, 0.0139909,0.0108955
9, 8, 8700, 0.0132648,0.0332917
16, 8, 3462, 0.0114721,0.0121313
17, 8, 10188, 0.0125252,0.016084
18, 8, 6422, 0.0121582,0.00544221
19, 8, 6618, 0.0188608,0.0141154
20, 8, 11300, 0.0306659,0.0240423
21, 8, 17569, 0.0144684,0.0115436
22, 8, 16149, 0.0322612,0.0168058
23, 8, 18265, 0.0147216,0.0116037
24, 8, 14802, 0.017646,0.0214193
25, 8, 11697, 0.0283255,0.0342485
35, 8, 11308, 0.00884318,0.0229556
36, 8, 12002, 0.0212168,0.0101505
37, 8, 9110, 0.0155026,0.0224571
39, 8, 7527, 0.0234228,0.0215822
54, 8, 12835, 0.0229029,0.0315376
59, 8, 6251, 0.02776,0.0339746
10, 9, 5250, 0.0123141,0.0105548
11, 9, 5253, 0.02411,0.0277707
16, 9, 5017, 0.0193968,0.0278324
17, 9, 12257, 0.0110917,0.022869
18, 9, 10598, 0.0109728,0.0209284
19, 9, 15216, 0.0108856,0.00671651
20, 9, 155765, 0.00794866,0.0730172
21, 9, 108239, 0.016414,0.049726
24, 9, 17770, 0.0245073,0.0211081
25, 9, 5640, 0.0175512,0.0182857
26, 9, 20029, 0.0148024,0.015633
35, 9, 22260, 0.021507,0.0391093
36, 9, 52329, 0.0108526,0.065775
37, 9, 9045, 0.0255224,0.0249525
38, 9, 23668, 0.0352123,0.0486306
39, 9, 19184, 0.0163849,0.0253462
54, 9, 13782, 0.0254476,0.0206251
59, 9, 9688, 0.031106,0.0397698
11, 10, 4355, 0.00884318,0.00786322
12, 10, 5821, 0.0118503,0.00507375
