source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
11,9,108,0.0277342,0.0296382
16,9,66,0.030369,0.0154497
17,9,122,0.0124297,0.0334046
18,9,143,0.0135933,0.023647
19,9,156,0.011027,0.00720982
20,9,275,0.0079786,0.0739104
21,9,167,0.020514,0.050178
24,9,111,0.0258704,0.0200007
25,9,64,0.0173118,0.0184877
26,9,104,0.0158674,0.0156035
35,9,169,0.0267317,0.0716848
36,9,190,0.011188,0.0658986
37,9,74,0.0268207,0.021967
38,9,101,0.0372974,0.0281641
39,9,80,0.0146973,0.0233805
54,9,76,0.0217933,0.0206865
59,9,70,0.0283507,0.0249632
11,10,130,0.00782776,0.00851848
12,10,75,0.0123431,0.0070859
13,10,82,0.0214515,0.0221258
14,10,72,0.0348104,0.0345954
15,10,127,0.0242923,0.0327995
16,10,121,0.0209624,0.0517368
17,10,158,0.0117493,0.0574994
18,10,220,0.00794866,0.0478839
19,10,122,0.010184,0.0242527
20,10,306,0.0128726,0.0796781
25,10,82,0.0174148,0.0179636
26,10,100,0.0166519,0.0288531
27,10,88,0.0475311,0.0254263
36,10,60,0.0209453,0.0179154
37,10,70,0.0217276,0.0191316
38,10,62,0.0188987,0.0230954
39,10,103,0.0190119,0.031194
41,10,112,0.0322908,0.0412788
12,11,107,0.00596024,0.00485138
13,11,75,0.0227776,0.0210855
14,11,111,0.040536,0.0328895
15,11,114,0.0372526,0.0419746
18,11,197,0.0140164,0.0683785
19,11,122,0.0145424,0.0359976
20,11,199,0.0267272,0.0888364
25,11,99,0.0109945,0.0265547
26,11,107,0.0175784,0.0289553
27,11,103,0.0326178,0.0161206
28,11,68,0.0330895,0.0323366
37,11,62,0.0257364,0.0249391
38,11,70,0.0245413,0.0314385
39,11,133,0.0180204,0.0421603
41,11,205,0.0446541,0.0277087
13,12,99,0.0126484,0.0111612
14,12,94,0.0282918,0.0217637
15,12,101,0.0325226,0.0387639
19,12,61,0.0158674,0.0225817
26,12,128,0.0129096,0.0233052
27,12,121,0.0304826,0.0207821
28,12,86,0.0222052,0.0156375
29,12,77,0.0281481,0.0167036
37,12,82,0.0225144,0.0403534
40,12,118,0.0334372,0.0478995
41,12,138,0.0320796,0.0145894
42,12,110,0.0353508,0.010447
43,12,109,0.0383192,0.0178831
44,12,63,0.030821,0.0261417
14,13,95,0.0164937,0.0120039
15,13,87,0.0356899,0.0217347
26,13,162,0.0342858,0.0221353
